Azonosító;Név;Típus;Ár1;Ár2;Ár3
?;Jókai;nosztalgia;245000;185000;140000
8601247;Tünde;nosztalgia;245000;185000;140000
8601237;Csobánc;nosztalgia;245000;185000;140000
8601303;Helka;nosztalgia;245000;185000;140000
8601238;Kelén;nosztalgia;245000;185000;140000
8601248;Csongor;nosztalgia;245000;185000;140000
8601894;Balaton;új katamarán;405000;300000;225000
8601887;Tomaj;új katamarán;405000;300000;225000
8601751;Szent Miklós;személyhajó;350000;260000;225000
8601807;Szigliget;személyhajó;325000;245000;210000
8601336;Siófok;katamarán;300000;220000;185000
8601340;Badacsony;katamarán;300000;220000;185000
8601344;Füred;katamarán;300000;220000;185000
8601707;Boglár;személyhajó;210000;165000;140000
8601710;Fonyód;személyhajó;210000;165000;140000
8601750;Földvár;személyhajó;210000;165000;140000
8601338;Lelle;személyhajó;210000;165000;140000
8601308;Hévíz;személyhajó;210000;165000;140000
8601384;Aqua Pannonia;személyhajó;210000;165000;140000
8601313;Keszthely;személyhajó;210000;165000;140000
P3;Szántód;új komp;440000;380000;335000
P4;Tihany;új komp;440000;380000;335000
8601241;Széchenyi István;komp;325000;265000;230000
8601244;Kisfaludy Sándor;komp;325000;265000;230000
8601317;Kossuth Lajos;komp;325000;265000;230000
8601331;Baross Gábor;komp;325000;265000;230000
