datum,indulas,erkezes,menetido,hajo_neve,indulo_kikoto,cel_kikoto,tipus,tipus_nyers,fordaid,reszlet_url
2026-05-03,12:00,12:30,30 perc,Füred ms,Badacsony 30 perc,Fonyód,menetrendi,Menetrendi,413728,https://jegy.bahart.hu/Shop/CruiseDetails?fordaid=413728
2026-05-03,13:00,13:30,30 perc,Badacsony ms,Badacsony 30 perc,Fonyód,menetrendi,Menetrendi,413729,https://jegy.bahart.hu/Shop/CruiseDetails?fordaid=413729
2026-05-03,14:00,14:30,30 perc,Füred ms,Badacsony 30 perc,Fonyód,menetrendi,Menetrendi,413730,https://jegy.bahart.hu/Shop/CruiseDetails?fordaid=413730
2026-05-03,15:00,15:30,30 perc,Badacsony ms,Badacsony 30 perc,Fonyód,menetrendi,Menetrendi,413731,https://jegy.bahart.hu/Shop/CruiseDetails?fordaid=413731
2026-05-03,15:50,16:20,30 perc,Keszthely ms,Badacsony 30 perc,Szigliget,menetrendi,Menetrendi,414261,https://jegy.bahart.hu/Shop/CruiseDetails?fordaid=414261
2026-05-03,16:00,16:30,30 perc,Füred ms,Badacsony 30 perc,Fonyód,menetrendi,Menetrendi,413732,https://jegy.bahart.hu/Shop/CruiseDetails?fordaid=413732
2026-05-03,15:50,17:05,1 óra 15 perc,Keszthely ms,Badacsony 1 óra 15 perc,Balatongyörök,menetrendi,Menetrendi,414249,https://jegy.bahart.hu/Shop/CruiseDetails?fordaid=414249
2026-05-03,17:00,17:30,30 perc,Badacsony ms,Badacsony 30 perc,Fonyód,menetrendi,Menetrendi,413733,https://jegy.bahart.hu/Shop/CruiseDetails?fordaid=413733
2026-05-03,15:50,17:40,1 óra 50 perc,Keszthely ms,Badacsony 1 óra 50 perc,Balatonmáriafürdő,menetrendi,Menetrendi,414237,https://jegy.bahart.hu/Shop/CruiseDetails?fordaid=414237
2026-05-03,18:00,18:30,30 perc,Füred ms,Badacsony 30 perc,Fonyód,menetrendi,Menetrendi,413734,https://jegy.bahart.hu/Shop/CruiseDetails?fordaid=413734
2026-05-03,19:00,19:30,30 perc,Badacsony ms,Badacsony 30 perc,Fonyód,menetrendi,Menetrendi,413735,https://jegy.bahart.hu/Shop/CruiseDetails?fordaid=413735
2026-05-03,20:00,20:30,30 perc,Füred ms,Badacsony 30 perc,Fonyód,menetrendi,Menetrendi,413736,https://jegy.bahart.hu/Shop/CruiseDetails?fordaid=413736
2026-05-04,10:15,10:45,30 perc,Tomaj ms,Badacsony 30 perc,Fonyód,menetrendi,Menetrendi,413737,https://jegy.bahart.hu/Shop/CruiseDetails?fordaid=413737
2026-05-04,11:45,12:15,30 perc,Tomaj ms,Badacsony 30 perc,Fonyód,menetrendi,Menetrendi,413738,https://jegy.bahart.hu/Shop/CruiseDetails?fordaid=413738
2026-05-04,16:15,16:45,30 perc,Tomaj ms,Badacsony 30 perc,Fonyód,menetrendi,Menetrendi,413739,https://jegy.bahart.hu/Shop/CruiseDetails?fordaid=413739
2026-05-04,17:45,18:15,30 perc,Tomaj ms,Badacsony 30 perc,Fonyód,menetrendi,Menetrendi,413740,https://jegy.bahart.hu/Shop/CruiseDetails?fordaid=413740
2026-05-05,10:15,10:45,30 perc,Tomaj ms,Badacsony 30 perc,Fonyód,menetrendi,Menetrendi,413741,https://jegy.bahart.hu/Shop/CruiseDetails?fordaid=413741
2026-05-05,11:45,12:15,30 perc,Tomaj ms,Badacsony 30 perc,Fonyód,menetrendi,Menetrendi,413742,https://jegy.bahart.hu/Shop/CruiseDetails?fordaid=413742
2026-05-05,16:15,16:45,30 perc,Tomaj ms,Badacsony 30 perc,Fonyód,menetrendi,Menetrendi,413743,https://jegy.bahart.hu/Shop/CruiseDetails?fordaid=413743
2026-05-05,17:45,18:15,30 perc,Tomaj ms,Badacsony 30 perc,Fonyód,menetrendi,Menetrendi,413744,https://jegy.bahart.hu/Shop/CruiseDetails?fordaid=413744
2026-05-06,10:15,10:45,30 perc,Tomaj ms,Badacsony 30 perc,Fonyód,menetrendi,Menetrendi,413745,https://jegy.bahart.hu/Shop/CruiseDetails?fordaid=413745
2026-05-06,11:45,12:15,30 perc,Tomaj ms,Badacsony 30 perc,Fonyód,menetrendi,Menetrendi,413746,https://jegy.bahart.hu/Shop/CruiseDetails?fordaid=413746
2026-05-06,16:15,16:45,30 perc,Tomaj ms,Badacsony 30 perc,Fonyód,menetrendi,Menetrendi,413747,https://jegy.bahart.hu/Shop/CruiseDetails?fordaid=413747
2026-05-06,17:45,18:15,30 perc,Tomaj ms,Badacsony 30 perc,Fonyód,menetrendi,Menetrendi,413748,https://jegy.bahart.hu/Shop/CruiseDetails?fordaid=413748
2026-05-07,10:15,10:45,30 perc,Tomaj ms,Badacsony 30 perc,Fonyód,menetrendi,Menetrendi,413749,https://jegy.bahart.hu/Shop/CruiseDetails?fordaid=413749
2026-05-07,11:45,12:15,30 perc,Tomaj ms,Badacsony 30 perc,Fonyód,menetrendi,Menetrendi,413750,https://jegy.bahart.hu/Shop/CruiseDetails?fordaid=413750
2026-05-07,16:15,16:45,30 perc,Tomaj ms,Badacsony 30 perc,Fonyód,menetrendi,Menetrendi,413751,https://jegy.bahart.hu/Shop/CruiseDetails?fordaid=413751
2026-05-07,17:45,18:15,30 perc,Tomaj ms,Badacsony 30 perc,Fonyód,menetrendi,Menetrendi,413752,https://jegy.bahart.hu/Shop/CruiseDetails?fordaid=413752
2026-05-08,10:15,10:45,30 perc,Tomaj ms,Badacsony 30 perc,Fonyód,menetrendi,Menetrendi,413753,https://jegy.bahart.hu/Shop/CruiseDetails?fordaid=413753
2026-05-08,11:45,12:15,30 perc,Tomaj ms,Badacsony 30 perc,Fonyód,menetrendi,Menetrendi,413754,https://jegy.bahart.hu/Shop/CruiseDetails?fordaid=413754
2026-05-08,16:15,16:45,30 perc,Tomaj ms,Badacsony 30 perc,Fonyód,menetrendi,Menetrendi,413755,https://jegy.bahart.hu/Shop/CruiseDetails?fordaid=413755
2026-05-08,17:45,18:15,30 perc,Tomaj ms,Badacsony 30 perc,Fonyód,menetrendi,Menetrendi,413756,https://jegy.bahart.hu/Shop/CruiseDetails?fordaid=413756
2026-05-09,10:15,10:45,30 perc,Füred ms,Badacsony 30 perc,Fonyód,menetrendi,Menetrendi,413757,https://jegy.bahart.hu/Shop/CruiseDetails?fordaid=413757
2026-05-09,11:45,12:15,30 perc,Füred ms,Badacsony 30 perc,Fonyód,menetrendi,Menetrendi,413758,https://jegy.bahart.hu/Shop/CruiseDetails?fordaid=413758
2026-05-09,13:15,13:45,30 perc,Füred ms,Badacsony 30 perc,Fonyód,menetrendi,Menetrendi,413759,https://jegy.bahart.hu/Shop/CruiseDetails?fordaid=413759
2026-05-09,15:50,16:20,30 perc,Keszthely ms,Badacsony 30 perc,Szigliget,menetrendi,Menetrendi,414262,https://jegy.bahart.hu/Shop/CruiseDetails?fordaid=414262
